code,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
820,88.61,22087.56,63724.51,105571.22,100591.3,458.76,-19012.25,-0.3,0.43,1.9,14.68,19980630
600139,0,66189.04,66189.04,686724.94,217874.95,49477.95,37900.96,0.57,-0.349,1.19,11.36,19980225
600326,27.23,66568.03,66568.03,609580.81,404323.91,142063.77,99822.24,1.5,0.256,3.47,2.69,20010116
300366,239.72,5384.06,24122.41,178537.13,100738.22,2082.83,84128.96,3.49,0.119,6.08,6.26,20140127
528,1038.64,112507.75,112524.21,2053173.75,1322428.63,228173.97,352074.09,3.13,0.006,7.85,0.99,19931118
792,109.09,156637.8,185739.38,8097230.5,1437615.63,2633589.75,1040689,5.6,0.14,13.19,1.55,19970904
600808,22.43,596775.13,770068.13,6262746,2042248,3457190,832906.75,1.08,0.099,2.5,1.18,19940106
600111,1087.14,363306.59,363306.59,1580087.63,1078247.13,220969.34,15597.85,0.04,0.009,2.27,6.04,19970924
603315,110.32,7786.25,20000,108380.95,66032.24,35292.15,28825.69,1.44,0.172,3.27,7.77,20150424
898,26.99,614897.63,723480.81,8789600,2477400,4917700,3151900,4.36,0.135,6.12,0.79,19971225
657,367.15,24557.07,62865.46,697092.31,369274.47,230396.38,274118.03,4.36,0.035,4.75,3.62,19961205
600828,23.34,56981.73,173198.25,1600261.75,256763.8,730526.5,33223.3,0.19,0.264,2.22,3.7,19940224
600573,4565.44,25000,25000,120059.35,62825.66,48567.73,50606.55,2.02,0.003,4.37,3.66,20030226
931,816.1,66797.85,67484.7,305412.97,189359.11,51612.8,100745.52,1.49,0.008,1.26,7.21,19990712
600393,137.97,29950.5,126812.39,1115832.38,986329.81,14764.5,330563.81,2.61,0.09,3.97,3.2,20010319
600354,0,44780.21,52780.21,284578,174705.73,56592.05,89953.45,1.7,-0.334,1.84,4.82,20040115
600908,28.05,18481.15,184811.48,11931127,0,93544.71,97490.21,0.53,0.42,4.72,3,20160923
300555,142.47,2000,8000,53344.86,43758.18,565.17,2844.84,0.36,0.66,3.81,24.68,20161018
601000,13.27,401588.5,404718.94,1750428.38,520669.41,1058363.13,189486.31,0.47,0.237,2.73,1.54,20100705
600019,13.01,1642427.88,1645111.75,26687294,10141921,11078174,3377792.75,2.05,0.34,7.17,0.82,20001212
2500,97.61,248846.95,282872.5,4611425.5,0,32706.6,671329.63,2.37,0.115,4.28,3.48,20101115
2660,251,19165.22,27703.06,209060.66,117987.61,46660.4,46949.76,1.69,0.048,3.17,5.06,20120316
600231,386.27,160800.44,251916.59,1614137,725661.31,722043,45192.5,0.18,0.005,2.02,1.39,20000511
2087,32.03,67568.59,81679.42,788542.88,478517.81,217046.52,104167.27,1.28,0.16,3.53,2.08,20061130
600031,213.18,759372.06,761086.13,6003771.5,3570230.5,1496619.38,55998.6,0.07,0.023,3.07,2.12,20030703
603126,60.05,21804,61050,335621.28,211192.25,81133.25,7176.16,0.12,0.156,2.39,5.22,20140731
2411,43.7,28093.24,153228.39,1686290,833779.69,101368.11,489151.31,3.19,0.48,5.25,4.99,20100525
